PRODCODE,ProducerName
90194,309 OIL
306030,A V Company INC
307804,ADAMS ENERGY LLC
90004,ADKINS FRANKLIN
516,AIO HOLDINGS LLC
309698,ALEXANDER PRODUCTION CO
3005,ALLIED ENERGY INC
90013,ALLSTATE ENERGY
12864,ALPHA HELIX ENERGY LLC
90905,ALQUIP LIMITED LIABILTY CO
555,AMCOX OIL & GAS
1748,AMERICAN ENERGY HOLDINGS LLC
7062,ANTERO RESOURCES CORPORATION
6193,APPALACHIAN OIL PURCHASERS LLC
6031,ARSENAL RESOURCES LLC
16161,AXIOM ENERGY LLC
112,B & F COMPANY LLC
82067,B & R RESOURCES LLC
10656,B V WELL SERVICES LLC
1087,BABE ENERGY CORPORATION
90034,BAKER J C & SONS INC
2713,BAM OIL
90038,BARR DAVID
90827,BARTLETT ROY
90040,Base Petroleum
310138,BATES LOREN
309469,BAYER BROKERAGE CO
7016,BB LAND COMPANY
8058,BEALL MR & MRS BOBBY
1430,BECKLEY ENERGY LLC
90045,BEE FAMILY ENTERPRISES INC
90047,BEECHLICK OIL INC
7825,BELKNAP ENTERPRISES
6566,BENDER JAMES J
90048,BERRY ENERGY CONSULTANTS
1286,BETA HELIX ENERGY LLC
306474,BHAMCO LTD
309691,BIALEK OIL & GAS CORP
6498,BIG M PETROLEUM CORP
29716,BIG PIGEON LLC
90598,BIG SAND DRILLING
901004,BILL & JESSIE INC
6970,BLACKROCK ENTERPRISES LLC
3543,BLUE GROUP OPERATING INC
7601,BLUERIDGE GAS PARTNERS
90058,BOBCAT OIL & GAS
90059,BOGGS BRENT
90060,BOGGS HARRY C AGT
3716,BONNETT DANIEL W
90061,BONNETT'S PRODUCTION COMPANY
309407,BOUDMAN THELMA
90064,BOWYER DAVID E
8154,BRADLEY GREGORY A
306085,BRAXTON OIL
67927,BRIAR HILL ENERGY INC
1639,BSB OIL AND GAS LLC
90073,BUCHER EXPLORATION LLC
306103,BUCKEYE OIL PRODUCING CO
308533,BURNING SPRINGS OIL
360,BURROWS FARM GAS & OIL CO
518,BYRD SHERRY
90082,C & N WELL SERVICE
61B1,C J & J OPERATIONS LLC
31251,CABELL COUNTY GAS COMPANY LLC
90856,CAD ENERGY CORP
26136,CAIN DAVID
90090,CAMERON OIL & GAS CO
90091,CAMPBELLS CREEK GAS CO
98622,CANE CREEK ENERGY LLC
1068,CAPITAL ENERGY LLC
90815,CARDINAL NATURAL FUEL CO INC
31181,CARLTON E JONES II
2106,CARR ROBERT
31182,CART OIL & GAS
11820,CARTER OIL & GAS
399,CAVENDER DOUG
200,CENTURY MINING LLC
90100,CGG OIL COMPANY
8007,CH 4 ENERGY COMPANY LLC
90103,CHARITY GAS INC
4024,CHESTNUT RIDGE STORAGE LLC
90106,CHISLER BROTHERS CONT LLC
00633,CLARK WELLS LLC
88,CLEM ENERGY LLC
90111,CLOWSER PRODUCTION
8046,CNX GAS COMPANY LLC
90120,COMMONWEALTH ENERGY INC
307054,CONTINENTAL
421,CORE SOLUTIONS LLC
90126,CORK ROBERT H JR
90127,COTIGA DEVELOPMENT COMPANY
69725,COURTWRIGHT MANAGEMENT INC
14142,CRADDOCK NANCY
90130,CREMEANS BOB
13139,CRESTON WELL
31825,CRYSTAL WATERS LLC
3230,CUNNINGHAM ENERGY LLC
9263,CUNNINGHAM NAOMI
90143,CUNNINGHAM TIMOTHY
455,CYRUS NATURAL RESOURCES INC
5562,D & G GAS
1092,D & M ENERGY
90146,D & N OPERATING CO
4454,D W ENERGY LLC
90147,DALE DAVID
310364,DANNY E WEBB CONSTRUCTION
90152,DC PETROLEUM
12068,DCS OIL FIELD SERVICES
90969,DEBRULAR LEWIS STEPHEN (STEPHEN GAS CO)
90154,DEEM J F
45122,DELTA HELIX 
90158,DENEX PETROLEUM CORP
9003,DERAN RESOURCES INC
8161,DEVONIAN GAS PRODUCTION
90163,DIAL JOHN
11643,DINAD DEVELOPMENT
38108,DIVERSIFIED PRODUCTION LLC
90761,DODD C C OIL & GAS
956,DOLPHIN ENERGY LLC
15160,DON HALL LEASING
308531,DONAHUE PIPELINE CONST INC
309135,DORWARD ENERGY CORPORATION
90582,DUCKWORTH  
07179,DUCKWORTH STEVE WELL SERVICE
90180,DURST OIL & GAS
141411,DUTCH RIDGE GAS VENTURES
90182,DYER JACK AGENT
09693,EAGLE ENERGY INC
6603,EASTERN GAS TRANSMISSION AND STORAGE, INC
51221,EAV OPERATOR
248,EBTB
90195,ECOLOGICAL ENERGY/APCO ENERGY
0206,EDC OPERATING COMPANY
90198,ELAHS GAS COMPANY
158,ELK RIVER GAS LLC
4146,ELMORE DIXIE L
141420,ELVIS ENERGY
141421,EMCO ENERGY
1634D,ENERGY CONTRACT LEASES
2430,ENERGY PRODUCTION INC
15177,ENGELKE ALVIN L/CRESTON CO
306686,EQT CORPORATION
81630,ERWIN SANDRA
52435,EXCEL ENERGY INC
4927,EXPLORATION ENERGY PARTNERS
26330,FAITH OIL & GAS LLC
90219,FARR ENTERPRISES
90192,FARRELL
13131,FORDE L G INC
99009,FOUR LEAF LAND CO
61811,FRANCIS CAIN
90299,FRANCIS WELL SERVICE
3045,FRAZIER OIL & GAS LLC
90300,FREEDOM OIL & GAS INC
5991,G & M CONTRACTING INC
90857,GARNET GAS CORP
90308,GARRETT RICK J
14141N,GARY PAYNE
7927,GAS WELLS INC
90316,GELLNER WILLIAM
90134,GENESIS  ENERGY
72445,GENESIS EXPLORATION & PRODUCTION CO LLC
90901,GEOEX INC
309371,GILBERT  
307365,GILBERT DEVELOPMENT COMPANY
309941,GLOVERS OIL & GAS
305856,GOW RESOURCES
08389,GPO ENERGY LLC
310008,GREAT AMERICAN PETROLEUM CO INC
90323,GREENVILLE LAND DEVELOPMENT
96000,GREER INDUSTRIES
14150,GREY WOLF
500,GREYLOCK ENERGY
327,GREYSTONE PRODUCTION LLC
71891,GRIMM & DORWARD
366601,GROUND RESOURCES
90708,GUNN & DIVERS
90334,GUYAN GAS PRODUCERS INC
90519,H NESTER INC
90583,HANEY
81145,HANEY D G
306562,HANSEN R THOMAS FOR BOYD O & G
81206,HATFIELD EASTERN PROCUCING LLC
5359,HAYDEN HARPER ENERGY KA, LLC
8415,HAYDEN HARPER ENERGY WEST VIRGINIA, LLC
1001,HC HOLDINGS LLC
309471,Heatherly Darl H
90289,HEINRICH ENTERPRISES INC
97948,HG ENERGY
5260,HG ENERGY II
90365,HIGHLAND RESOURCES
7660,HILDRETH ROY G AGT/ CASSIE ENERGY
90932,HILDRETH ROY G AGT/ KIMCO
90368,HILDRETH ROY G AGT/ KRAKROW
90369,HILDRETH ROY G AGT/ MEGAN
1007,HILDRETH ROY G AGT/ WV TEA COMPANY
90366,HILDRETH ROY G AGT/& SON
90868,HMS RESOURCES INC
90375,HOHMAN ALBERT AGT
90378,HORIZON
17174,HORNER PRODUCTION
5541,HOSELTON EARLIE
310226,HOSTUTLER DIANNE
90388,HUGHES RIVER OIL & GAS
424,HUNTINGTON MIDWAY INCORPORATED
51,HYDROCARBON & CRUDE
310213,INDIAN CREEK OIL LLC
90394,INTERSTATE
7123,J & J ENERGY CORP
16637,J & S OIL PRODUCTION LLC
90398,J A & M OIL & GAS CO
90399,J C R PETROLEUM INC
90404,JACKSON FUELS INC
90408,JAMES DRILLING CORP
21211,JAMES M BLANTON
9712,JANET LYNN GAS CO
90412,JARVIS DRILLING INC
1720,JAY BEE PRODUCTION/DMRB SERVICES LLC
310335,JESAM ENERGY LLC
308707,JESSIE AND JESSIE, CPA'S
508676,JONES R E INC
25523,JUSTUS GAS COMPANY
08101N,K M HUNT ET AL
90424,K PETROLEUM INC
41450,KBG Partners LLC
309721,KELBLE OIL & GAS LLC
90428,KELLY COMPANY
90778,KEY OIL COMPANY
11914,KING GAS COMPANY
90438,KLUG E A & A J ESTATE
99012,KNOTTS BROTHERS
90441,KOCHER AND WESTFALL
90445,KRENNERMAN OIL & GAS CO INC
90446,KRISCOTT INC
12231,L B CARROLL ET AL
90077,L W BURDETTE ETAL LLC
90380,LAMAR OIL & GAS CO
6954,LAMB MICHAEL
656,LAMP JAMES N
4942,LANCASTER RANDY
98464,LANDAPLENTY
3972,LARCH OIL & GAS CORP
90329,LARRY GRIMM ESTATE
90139,LAUFFER JAMES M FOR CRUM MVG
90454,LAW JOHN T AGT
9018,LBJ ENERGY ASSOCIATES LLC
76721,LEATHERWOOD INC 
308766,LEE S WHITFIELD
12571,LEGACY EXPLORATION LLC
90456,LEMASTERS CHARLES A
309210,LEWIS MARY ANN
14151,LIBERTY RESOURCES
90459,LINGER EDWARD & PHYLLIS
309092,LIPPIZAN PETROLEUM INC
12920,LITTLE MAN GAS LLC
5580,LNL LLC
90467,LONE PINE OPERATING CO
05661,LOW GAP LLC
99131,LOWTHER DAN
310186,LUCAS WELL SERVICE
306265,LUSHER JOHN AGT
61570,LYNCH JOHN
90471,M & A WELL SERVICE INC
897,M4 ENERGY - TRIANA ENERGY LLC
90474,MACFARLAN OIL & GAS CO
309184,MAD DOG ENTERPRISES
114,MAGNUM OIL & GAS INC
90478,MALCOLM D C INC
0478,MALCOLM D C INC (Industrial) 
90584,MANN
90913,MARANATHA ENERGY CORPORATION
12655,MARKS & CO INC
1313,MATTHEWS STEPHEN
90482,MATTHEY ROBERT L JR
307848,MAYLE JAMES W
306502,MCCULLOUGH RICHARD
05904,MCCUMBERS OIL & GAS
8158,MCINTOSH OIL & GAS
461,MCKINNEY JASON G
90487,MCKOWN C I & SON INC
809,MDW CAPITAL INC
63212,MEADOW RIDGE DEVELOPMENT LLC
90491,MEADOWS S L JR PRODUCTION CORP
99026,MICOA
15152,MID-ATLANTIC OF WV INC
13945,MIDEASTERN OIL & GAS
15178,MIDWEST ENERGY
99580,MIKE ROSS INC
122,MILHOAN DOUGLAS
110,MINERAL DEVELOPMENT INC
730,MINERAL RESOURCE MANAGEMENT LLC
0238,MINGO BOTTOM GOLF CLUB LLC
18005P,MLX OPERATING INC
2769,MONTGOMERY FRANK
13151,MONTLAR OIL & GAS
90498,MOODY OIL & GAS CO
131515,MOONLIGHT OIL & GAS
90429,MOORE DANIEL
90914,MORELAND CATHE L AGENT
90501,MORRIS OIL & GAS CO INC
90503,MOSES GEORGE W
90505,MOSSOR KENNETH
3864,MOTTO ENERGY
90506,MOUNTAIN STATE OIL CO LLC
9086,MOUNTAIN STATE WELL TENDING
16828,MOUNTAIN V LLC
90507,MOUNTAIN V OIL & GAS INC
90509,MOUNTAINEER GAS TRANSMISSION
1800,MOUNTAINEER STATE ENERGY
5539,MOUNTAINEER TRADING COMPANY LLC
819,MULE HEAD LLC
2625,MULLEN RESOURCES LLC
90511,MUMMA OIL PRODUCTION
13211,MURPHYTOWN-HAMMETT OIL COMPANY
4460,MURRAY HILL ENERGY INC
67382,MUSTANG OIL COMPANY
90514,MUTSCHELKNAUS CLARENCE
07987N,MYERS DRILLING
2641,NANCO RESOURCES LLC
14116,NAPA VALLEY PROPERTIES LLC
502,NAPIER RAYMOND E
5418,NEWARK OIL CO
90522,NIGHT OWL WELL SERVICE
14111,N-K LLC
511469,NNE RESOURCES LLC
8281,NORTHEAST NATURAL ENERGY LLC
99073,NORTHSTAR ENERGY CORP
90524,NOUMENON
90907,NUTT RONALD R
13904,OIL ROCK OIL COMPANY
8300,OLIVE OIL & GAS
2001,OWS ACQUISITION CO LLC
90700,P & C OIL & GAS CO
90879,P D T DRILLING LTD
131310,P G OIL & GAS COMPANY
90705,PARKER DENZIL
707,PARKS BETTY JO
6991,PATCHWORK OIL & GAS
16121,PAUL COLLINS
7864,PAUL L BRYAN MINERAL TRUST
9696,PAULEY JOEY D AGENT
90709,PAULEY JOSEPH E
308092,PAULEY PETE/PAULICO RESOURCES
306536,PAYNE ROBERT E
872,PEKULA SHELLIE JEAN
98539,PENTRESS GAS LLC
90715,PEPPER DEVELOPMENT LLC
90480,PERKINS OIL & GAS INC
15154,PERKINS PRODUCTION CO LLC
90721,PETHTEL DRILLING
16520,PETRO HOLDINGS INC
19251N,PETRO SYNDICATE OF WV
90489,PETROLEUM RESOURCES INC
90490,PETROLEUM SERVICE PARTNERS
90728,PIERSOL OIL & GAS
95012,PILLAR ENERGY LLC
16914,PIN OAK ENERGY PARTNERS
8046P,POCAHONTAS GAS LLC
90135,POCONO
99018,POLING JAMES G
90784,POLING JERRY
5972,PRECISION OPERATING LLC
7600,PREMMA OIL & GAS LLC
306857,PRINCE PETROLEUM CO INC
1323,PROFESSIONAL OILFIELD SERVICES
90855,PRUSACK JAMES
99041,PURSLEY VIRGINIA
2016,PUTNAM NATURAL GAS CO
90748,PUTNAM WILLIAM H
7013,QUALITY NATURAL GAS LLC
90751,R & B PETROLEUM INC
90755,R & R DEVELOPMENT
08116,R & R OIL & GAS LLC
42,R & R WELL SERVICE
90758,RADER LOUIS C AGT
8663,RADIUS ENERGY SERVICES LLC
90525,RAMSEY ASSOCIATED PETROLEUM
90,RAMSEY ENERGY DEVELOPMENT LLC
610,RAMSEY OIL & GAS LLC
90526,RAMSEY T G
7348,RAN RESOURCES INC
90531,RED GAS INC
18541,RED ROCK ENERGY 
90862,REED BROTHERS LTD PARTNERSHIP
308275,REED GAS INC
90535,RENNER JAMES A
310324,RESERVE OIL & GAS INC AGENT
99051,RIDGELAND  
90539,RIDGELAND ENERGY LLC
90543,RITCHIE PETROLEUM CORPORATION
90544,RITCO INC
18135,RM ENTERPRISES LLC
0801,ROGERS PROPERTIES LLC
309897,ROSE LONNIE
90557,ROSS & WHARTON GAS CO INC
90558,ROSS MIKE INC
90137,ROUZER OIL 
7279,SAGLIO INC
317887,Saint-Gobain Ceramics & Plas
90563,SANCHO OIL & GAS CORP
513,SANOVIC GAS LLC
14408,SARDIS GAS LLC
90565,SATTERFIELD STEPHEN
5353,SAVE-SUMP GAS CORPORATION
70,SCARLETT OAKS OIL & GAS LLC
10583,SCARSDALE DRILLING PARTNERS II
67,SCHAMBERGER SHAWNA
9789,SCHULTZ RUN GAS COMPANY
14485,SEARS RESOURCES LLC
19518,SERIES 2021 NG-1
8232,SHALE GAS PRODUCTION
841,SHEARER ROBERT C TRUST
141410,SHILOH RESOURCES LLC
9057,SIGLEY CLARENCE E/FARR
90346,SIGMA
3570,SKYBOX LLC
12,SLS LAND & ENERGY DEVELOPMENT
90440,SMITH BROS WELL #1
306316,SMITH GREGORY
90595,SMITH V C
90596,SMITH WALTER E
90092,SOLOMON PRODUCTION CORPORATION
306872,SPENCER ENTERPRISES LLC
5269,SQUEEKS GAS LLC
306862,STALNAKER ENERGY CORPORATION
90611,STANDARD GAS COMPANY
82733,STANDARD OIL COMPANY INC
4989,STOWERS ENERGY LLC
16,STRATEGIC LAND SERVICES LLC
90623,SUGAR ROCK INC AGT
90624,SULLIVAN G DIANE (CORK)
2619,SUMMIT APPALACHIA OPERATING
16165,SUN VALLEY OIL AND GAS LLC
12924,SWN PRODUCTION COMPANY LLC
5230,SWV ENERGY OPERATING LLC
90626,SYNDEX RESOURCES
90628,T & F Exploration LP
90193,TALLY HO
0466,TAPO ENERGY LLC
90630,TARGA DEVELOPMENT INC
90632,TATE GAS COMPANY
90133,TEMPEST-PETRO ENERGY COMPANY
20021,TENMILE LAND LLC
351,TENMILE OIL & GAS
99022,TENNEY DONNIE R
90635,TERM ENERGY CORPORATION
781,THOAMS LEONARD
3861,TRIBUNE RESOURCES
306851,TRI-CRUDE OIL & GAS
90645,TRIO OIL & GAS CO
4043,TSR ENTERPRISES LLC
14141,TUSCANY GAS LIMITED LIABILITY
309124,TYREE KERMIT
8111,ULLMAN CHRIS
22512,VELEAIR ENERGY LLC
90589,VIKING 
90667,WACO OIL & GAS CO
6052,WAGONER BETTY W
1439,WALKER RAYMOND
90670,WALKER WELL SERVICE INC
6903,WARFIELD MANAGEMENT
8102,WARREN PRODUCERS
219,WASHINGTON NATURAL GAS COMPANY
908,WEDDINGTON WANDA AGENT
1301,WESCO ENERGY
9954,WESTFALL JAMES H
2184,WESTMORELAND GAS LLC
09844,WHITE OAK GAS LLC
90678,WHITE PAT
307466,WHITTLE CORPORATION
631,WHOOLERY RONALD AGENT
886,WILLIAMS TIMOTHY E
90681,WILLOW RUN CORP
61200,WILMOTH CLIFFORD L
722,WOODBURN WILLIAM
309302,WOOFTER BETTY G
4865,WRH ENTERPRIZES
307025,WV BD DIRECTORS- STATE COLLEGE
1015,WV MINERAL GROUP LLC
802,WV WELLS LTD
7940,XTO ENERGY
4856,YOST HERITAGE INC
90689,ZICKEFOOSE R L 
7882,ZICKEFOOSE R L/ GAS & OIL INC
99086,ZICKEFOOSE W F/ MILLENNIUM ENERGY LLC 